unicode,towncode,Male,Female,Age25,Age34,Age44,Age54,Age64,Age.L65,Popn
277,1005,1902,874,68,232,582,780,565,549,2776
278,1006,1202,446,6,41,193,326,370,712,1648
279,1007,656,260,11,43,163,218,161,320,916
280,1008,1045,430,8,50,114,292,310,701,1475
281,1009,845,341,15,51,112,214,229,565,1186
282,1010,845,359,4,30,88,211,276,595,1204
283,1011,764,257,8,22,77,158,231,525,1021
284,1012,803,468,23,87,231,322,270,338,1271
285,1013,1440,577,20,138,294,610,456,499,2017
286,1014,849,359,14,55,121,299,328,391,1208
287,1015,1876,562,13,87,281,548,568,941,2438
288,1016,1128,398,17,74,243,356,355,481,1526
289,1017,482,200,12,38,76,129,200,227,682
290,1018,1042,485,23,123,261,416,305,399,1527
202,1101,1316,821,32,176,374,590,468,497,2137
203,1102,1060,588,15,78,230,374,363,588,1648
204,1103,1127,429,18,48,158,360,299,673,1556
205,1104,991,463,28,76,192,356,325,477,1454
206,1105,1037,435,13,53,120,267,335,684,1472
207,1106,1247,529,11,58,166,394,396,751,1776
208,1107,1263,597,24,90,262,454,396,634,1860
209,1108,1218,465,7,62,213,409,380,612,1683
210,1109,1568,672,13,105,332,600,524,666,2240
211,1110,1389,689,17,129,356,540,452,584,2078
212,1111,1116,448,10,57,195,293,384,625,1564
213,1112,897,496,19,93,260,381,313,327,1393
214,1113,983,526,16,85,162,378,337,531,1509
215,1114,1126,463,11,83,246,439,325,485,1589
216,1115,1474,715,17,105,302,466,439,860,2189
217,1116,1218,591,10,84,200,363,368,784,1809
218,1117,899,400,11,101,220,307,246,414,1299
219,1118,953,448,14,95,265,371,324,332,1401
220,1119,1119,552,19,169,349,386,340,408,1671
221,1120,1044,492,35,146,252,437,360,306,1536
222,1121,1004,417,10,122,217,386,304,382,1421
223,1122,940,359,15,61,189,309,248,477,1299
224,1123,1439,633,15,79,254,473,502,749,2072
225,1124,953,332,5,19,102,268,318,573,1285
226,1125,973,312,6,33,88,271,337,550,1285
227,1126,942,397,6,36,84,259,288,666,1339
228,1127,1375,753,52,262,412,546,468,388,2128
229,1128,1177,666,24,188,364,550,423,294,1843
230,1129,1329,510,11,99,228,482,444,575,1839
231,1130,651,253,4,22,64,148,176,490,904
232,1131,3488,2197,148,777,1407,1562,1003,788,5685
244,1201,4873,3658,145,990,1974,2464,1835,1123,8531
245,1202,1303,670,28,217,390,535,423,380,1973
246,1203,2016,1105,70,336,658,916,622,519,3121
247,1204,1862,692,28,155,376,656,633,706,2554
248,1205,1538,876,91,241,527,699,480,376,2414
249,1206,1393,729,45,272,525,614,437,229,2122
250,1207,1161,750,40,179,346,588,444,314,1911
251,1208,1694,870,68,325,648,673,428,422,2564
252,1209,1265,710,26,141,362,576,410,460,1975
253,1210,1481,581,44,152,340,586,449,491,2062
254,1211,1261,460,12,70,219,335,315,770,1721
255,1212,1198,551,11,131,316,482,397,412,1749
256,1213,1525,603,37,220,422,556,443,450,2128
257,1214,866,404,22,97,209,349,249,344,1270
258,1215,971,392,20,156,292,355,274,266,1363
259,1216,1018,402,26,148,319,335,298,294,1420
260,1217,1583,478,22,187,369,547,438,498,2061
261,1218,1403,582,21,161,366,518,466,453,1985
